,query,relevant_movie
0,герой в маске борется с преступностью но сталкивается с гениальным анархистом в гриме клоуна который хочет погрузить город в хаос,Темный рыцарь
1,римского генерала предают и убивают его семью а он становится гладиатором чтобы отомстить,Гладиатор
2,в будущем где земля умирает группа исследователей отправляется через червоточину в космос чтобы найти новый дом для человечества,Интерстеллар
3,страдающий от бессонницы офисный клерк знакомится с харизматичным торговцем мылом и они создают подпольный бойцовский клуб,Бойцовский клуб
4,два фокусника в викторианском лондоне вступают в ожесточенное соперничество которое перерастает в смертельную одержимость,Престиж
5,агент мафии в рядах полиции и полицейский внедренный в мафию пытаются обнаружить и уничтожить друг друга,Отступники
6,молодой мошенник виртуозно подделывает чеки и меняет профессии а агент фбр пытается его поймать,Поймай меня если сможешь
7,пара решает стереть друг друга из памяти после болезненного разрыва но в процессе главный герой пытается сохранить воспоминания о своей любви,Вечное сияние чистого разума
8,мужчина обнаруживает что вся его жизнь это реалити-шоу а все вокруг актеры,Шоу Трумана
9,два киборга из будущего прибывают в настоящее один чтобы убить юного лидера сопротивления а другой чтобы его защитить,Терминатор 2: Судный день
10,сын главы мафиозного клана герой войны не желающий иметь дел с криминалом вынужден взять на себя управление семьей после покушения на его отца,Крестный отец
11,два детектива выслеживают серийного убийцу который совершает преступления основываясь на семи смертных грехах,Семь
12,девочка попадает в мир духов где ее родители превращаются в свиней и она вынуждена работать в бане для богов чтобы спасти их,Унесённые призраками
13,озлобленный ветеран корейской войны презирающий своих соседей-иммигрантов неохотно становится защитником соседского подростка от местной банды,Гран Торино
14,молодой и амбициозный джазовый барабанщик попадает под опеку безжалостного дирижера-тирана который доводит его до предела,Одержимость
15,женщина арендует три рекламных щита чтобы публично обвинить местного шерифа в бездействии по делу об убийстве ее дочери,Три билборда на границе Эббинга Миссури
16,в день пятой годовщины свадьбы у мужчины пропадает жена и он становится главным подозреваемым в ее исчезновении,Исчезнувшая
17,индийский мальчик после кораблекрушения оказывается в спасательной шлюпке посреди океана в компании бенгальского тигра,Жизнь Пи
18,скромный советский служащий случайно получает гипсовую повязку набитую контрабандными бриллиантами и за ним начинают охоту преступники,Бриллиантовая рука
19,грубоватый вышибала-итальянец нанимается водителем к утонченному афроамериканскому пианисту во время его турне по расистскому югу США,Зеленая книга